product_name,customer_id,rating,review_date,text
"Premium Coffee Maker","C12345",5,"2023-06-01","This coffee maker is amazing! It brews the perfect cup every time and the temperature control is spot on. The design is sleek and it looks great on my counter. Highly recommend!"
"Premium Coffee Maker","C23456",4,"2023-06-03","Great coffee maker overall. Easy to use and makes delicious coffee. Taking off one star because it's a bit loud during brewing."
"Premium Coffee Maker","C34567",2,"2023-06-05","Disappointed with this purchase. The coffee maker leaks and the customer service was unhelpful when I reported the issue."
"Premium Coffee Maker","C45678",5,"2023-06-07","Best coffee maker I've ever owned! The programmable features are so convenient and the coffee tastes amazing. Worth every penny!"
"Premium Coffee Maker","C56789",3,"2023-06-09","It's an average coffee maker. Makes decent coffee but nothing special. There are better options available for the same price."
"Premium Coffee Maker","C67890",4,"2023-06-11","Very good coffee maker. The thermal carafe keeps coffee hot for hours and the brewing process is quick. Only complaint is that the water reservoir is a bit small."
"Premium Coffee Maker","C78901",5,"2023-06-13","Excellent product! The coffee maker is easy to clean, brews quickly, and the coffee tastes perfect. The auto-shutoff feature is great for peace of mind."
"Premium Coffee Maker","C89012",1,"2023-06-15","Terrible product. Stopped working after just two weeks. Complete waste of money."
"Premium Coffee Maker","C90123",4,"2023-06-17","Really good coffee maker. The built-in grinder is convenient and the strength control works well. Taking off one star because the cleaning process is a bit complicated."
"Premium Coffee Maker","C01234",3,"2023-06-19","Decent coffee maker but overpriced for what it offers. It works well but doesn't have any features that justify the premium price."
"Wireless Earbuds","C12345",5,"2023-05-15","These earbuds are incredible! The sound quality is amazing and they fit perfectly in my ears. Battery life exceeds expectations and the noise cancellation is top-notch."
"Wireless Earbuds","C23456",4,"2023-05-17","Very good earbuds. Sound quality is excellent and they're comfortable to wear. The only downside is that the case is a bit bulky."
"Wireless Earbuds","C34567",2,"2023-05-19","Not impressed with these earbuds. They keep disconnecting from my phone and the battery life is much shorter than advertised."
"Wireless Earbuds","C45678",5,"2023-05-21","Best earbuds I've ever owned! The sound is crystal clear, they stay in my ears during workouts, and the battery lasts all day. Highly recommend!"
"Wireless Earbuds","C56789",3,"2023-05-23","These earbuds are okay. Sound quality is decent but nothing special. They're comfortable enough but I've used better ones at this price point."
"Wireless Earbuds","C67890",4,"2023-05-25","Good earbuds with great features. The touch controls work well and the sound quality is very good. Taking off one star because they're a bit expensive."
"Wireless Earbuds","C78901",5,"2023-05-27","Absolutely love these earbuds! The sound quality is exceptional and the noise cancellation makes my commute so much more enjoyable. Worth every penny!"
"Wireless Earbuds","C89012",1,"2023-05-29","Terrible product. One earbud stopped working after just a week. Customer service was unhelpful and refused to replace them."
"Wireless Earbuds","C90123",4,"2023-05-31","Very satisfied with these earbuds. They connect quickly to my devices and the sound quality is excellent. The app could use some improvements though."
"Wireless Earbuds","C01234",3,"2023-06-02","Decent earbuds but nothing special. They work as expected but don't stand out from the competition. Battery life is good though."
"Smart Thermostat","C12345",5,"2023-04-10","This smart thermostat has transformed our home! It's easy to use, the app is intuitive, and we've already seen savings on our energy bill. The installation was straightforward too."
"Smart Thermostat","C23456",4,"2023-04-12","Good thermostat with useful features. The scheduling works well and it's nice to be able to control it remotely. Taking off one star because the display is a bit dim."
"Smart Thermostat","C34567",2,"2023-04-14","Disappointed with this purchase. The thermostat is unreliable and sometimes changes temperature on its own. The app is also buggy and crashes frequently."
